,pred
0," Go to the left when you get to the right, go to the counter, and take a left."
1, Go to the left the the tv. Turn right and the the the the the right and right and right and right
2, Go to the right when you get to the turn left. Go the counter and turn right when you get to the couch. Go right passed the couch and stop when you get to the left and the
3, Go to the left the the TV. Go to the and and
4, Make a left when you see a left towards the towards the towards the walk towards the dining table.
5, Go to the left passed the tv and take a right when you get to the
6, Go right and right the the right and right the the the right right right right and right and stop
7, Go to the right passed the bed and take a left. Go to the the and turn and right and
8, Go straight towards the dining table. Turn right and walk to the right and the right the right and and the
9, Go to the right when you get to the right and the the and make left couch and right and right right the
10, Go to the right passed the couch and right and right the the right and and and and and
11, Go to the left when you get to the left and the the make a left couch. couch and the right and right the
12," Go to the left when you get to the left, make a left when you see a left, take a left when you see the the right and stop when you get to the"
13, Go to the left when you get to the left and go the the bed. Go straight towards the left and a a and go to the the to the the
14, Go to the left passed the bed and take a left. Go the the and and the the the the the to and couch. couch. couch. couch.
15, Make a left to the toilet. Go straight towards the towards the towards the towards towards towards towards straight straight and
16, Go to the left and enter the toilet. Turn right and go right when you get to the couch.
17, Go to the right couch. couch. couch.
18, Go to the left when you get to the right and the right. Walk to the right and the the and the
19, Go right when you get to the the
20, Go to the left passed the bed. Go to the left and go the bed. Go to the right and the couch. the to the the
21, Go straight towards the the and turn right to the refrigerator. Go the to the left and
22, Go to the left passed the bed and to the left. Go passed the bed and go straight towards the left. Go to the left and stop when you get to the
23, Go to the left when you get to the left to the the tv. Turn right and right right the right right and right and
24, Make a left when you see a left towards the towards the and turn right passed the bed and go straight towards the
25, Go to the left passed the bed. Go straight towards the tables. Go to the right and stop when you get to the
26, Go to the left Cross the tv and go straight towards the bed. Go to the left and the the the right and right and
